,rightankle,leftankle,rightknee,leftknee,righthip,lefthip,rightshoulder,leftshoulder,rightankle leftankle,rightankle rightknee,rightankle leftknee,rightankle righthip,rightankle lefthip,rightankle rightshoulder,rightankle leftshoulder,leftankle rightknee,leftankle leftknee,leftankle righthip,leftankle lefthip,leftankle rightshoulder,leftankle leftshoulder,rightknee leftknee,rightknee righthip,rightknee lefthip,rightknee rightshoulder,rightknee leftshoulder,leftknee righthip,leftknee lefthip,leftknee rightshoulder,leftknee leftshoulder,righthip lefthip,righthip rightshoulder,righthip leftshoulder,lefthip rightshoulder,lefthip leftshoulder,rightshoulder leftshoulder,curve
14,176.49,148.22,179.62,163.18,153.3,160.38,0.24,77.63,26159.3478,31701.133800000003,28799.6382,27055.917000000005,28305.4662,42.3576,13700.9187,26623.2764,24186.5396,22722.126,23771.5236,35.5728,11506.318599999999,29310.391600000003,27535.746000000003,28807.4556,43.1088,13943.900599999999,25015.494000000002,26170.8084,39.1632,12667.6634,24586.254,36.792,11900.679,38.4912,12450.299399999998,18.6312,1
15,116.99,132.51,156.94,141.89,136.64,136.3,19.33,1.76,15502.344899999998,18360.4106,16599.711099999997,15985.513599999998,15945.737000000001,2261.4166999999998,205.9024,20796.1194,18801.843899999996,18106.1664,18061.113,2561.4183,233.21759999999998,22268.216599999996,21444.2816,21390.922000000002,3033.6501999999996,276.2144,19387.849599999998,19339.607,2742.7336999999993,249.72639999999998,18624.032,2641.2511999999997,240.48639999999997,2634.679,239.88800000000003,34.020799999999994,1
16,131.85,130.28,165.41,168.09,142.44,151.47,10.86,42.21,17177.417999999998,21809.3085,22162.6665,18780.714,19971.319499999998,1431.8909999999998,5565.3885,21549.6148,21898.7652,18557.0832,19733.5116,1414.8408,5499.1188,27803.7669,23561.0004,25054.6527,1796.3526,6981.9561,23942.7396,25460.5923,1825.4574,7095.0789,21575.3868,1546.8983999999998,6012.3924,1644.9642,6393.5487,458.4006,1
17,139.02,177.1,170.37,179.32,150.15,159.69,15.1,51.53,24620.442000000003,23684.837400000004,24929.0664,20873.853000000003,22200.1038,2099.202,7163.700600000001,30172.527,31757.571999999996,26591.565,28281.099,2674.21,9125.963,30550.7484,25581.055500000002,27206.3853,2572.587,8779.1661,26924.898,28635.6108,2707.732,9240.3596,23977.4535,2267.265,7737.2295,2411.319,8228.8257,778.103,1
18,157.57,167.97,161.57,178.9,149.43,166.07,12.39,70.25,26467.0329,25458.584899999998,28189.273,23545.6851,26167.649899999997,1952.2923,11069.2925,27138.9129,30049.833000000002,25099.757100000003,27894.777899999997,2081.1483000000003,11799.8925,28904.873,24143.4051,26831.9299,2001.8523,11350.2925,26733.027000000002,29709.923,2216.5710000000004,12567.725,24815.8401,1851.4377000000002,10497.4575,2057.6073,11666.4175,870.3975,1
19,97.25,131.44,154.95,160.76,115.34,148.3,7.84,15.25,12782.539999999999,15068.887499999999,15633.91,11216.815,14422.175000000001,762.4399999999999,1483.0625,20366.627999999997,21130.2944,15160.2896,19492.552,1030.4895999999999,2004.46,24909.761999999995,17871.933,22979.085,1214.808,2362.9874999999997,18542.058399999998,23840.708,1260.3583999999998,2451.5899999999997,17104.922000000002,904.2656000000001,1758.935,1162.672,2261.5750000000003,119.56,1
20,161.64,141.01,153.56,168.34,124.94,148.0,9.94,24.12,22792.856399999997,24821.4384,27210.4776,20195.3016,23922.719999999998,1606.7015999999999,3898.7567999999997,21653.4956,23737.6234,17617.789399999998,20869.48,1401.6393999999998,3401.1612,25850.2904,19185.7864,22726.88,1526.3863999999999,3703.8672,21032.3996,24914.32,1673.2996,4060.3608000000004,18491.12,1241.9035999999999,3013.5528,1471.12,3569.76,239.7528,1
21,148.16,163.8,174.69,174.08,152.09,160.4,5.69,72.03,24268.608,25882.0704,25791.6928,22533.6544,23764.864,843.0304,10671.9648,28614.222,28514.304000000004,24912.342,26273.520000000004,932.0220000000002,11798.514000000001,30410.035200000002,26568.6021,28020.276,993.9861000000001,12582.9207,26475.827200000003,27922.432000000004,990.5152000000002,12538.9824,24395.236,865.3921,10955.0427,912.676,11553.612000000001,409.8507,1
22,156.66,132.81,166.47,168.97,131.04,147.31,15.03,47.08,20806.0146,26079.1902,26470.8402,20528.7264,23077.5846,2354.5998,7375.5527999999995,22108.8807,22440.9057,17403.4224,19564.2411,1996.1343,6252.6948,28128.4359,21814.228799999997,24522.6957,2502.0441,7837.4076,22141.8288,24890.9707,2539.6191,7955.107599999999,19303.502399999998,1969.5312,6169.3632,2214.0693,6935.3548,707.6124,1
23,114.65,132.53,154.69,168.75,128.01,151.16,30.41,108.28,15194.5645,17735.2085,19347.1875,14676.3465,17330.494,3486.5065000000004,12414.302000000001,20501.0657,22364.4375,16965.1653,20033.2348,4030.2373000000002,14350.3484,26103.9375,19801.866899999997,23382.9404,4704.1229,16749.8332,21601.6875,25508.25,5131.6875,18272.25,19349.991599999998,3892.7841,13860.922799999998,4596.7756,16367.6048,3292.7948,1
24,161.37,178.15,175.51,173.81,140.76,162.99,28.99,54.25,28748.0655,28322.0487,28047.7197,22714.441199999997,26301.696300000003,4678.1163,8754.3225,31267.106499999998,30964.251500000002,25076.394,29036.668500000003,5164.5685,9664.6375,30505.393099999998,24704.787599999996,28606.3749,5088.0349,9521.4175,24465.4956,28329.2919,5038.7519,9429.192500000001,22942.4724,4080.6323999999995,7636.23,4725.0801,8842.2075,1572.7075,1
25,99.44,118.99,164.53,161.34,118.42,143.18,11.16,8.33,11832.3656,16360.8632,16043.6496,11775.684799999999,14237.8192,1109.7504,828.3352,19577.4247,19197.8466,14090.7958,17036.9882,1327.9284,991.1867,26545.2702,19483.6426,23557.4054,1836.1548,1370.5349,19105.8828,23100.661200000002,1800.5544,1343.9622,16955.3756,1321.5672,986.4386000000001,1597.8888000000002,1192.6894,92.9628,1
